store_id;Product Handle;Product Title;Product Subtitle;Product Description;Product Status;Product Thumbnail;Product Weight;Product Length;Product Width;Product Height;Product HS Code;Product Origin Country;Product Material;Product Collection Title;Product Collection Handle;Product Type;Column1;Product Discountable;Product Profile Name;Product Profile Type;Variant Title;Variant SKU;Variant Barcode;Variant Inventory Quantity;Variant Manage Inventory;Price USD;Option 1 Name;Option 1 Value;Option 2 Name;Option 2 Value;Sales Channel 1 Name
1;Abe Tough Polyurethane Paint Signal Red 5L 3577005;Abe Tough Polyurethane Paint Signal Red 5L 3577005;;Abe Tough Polyurethane Paint Signal Red 5L 3577005;published;;;;;;;;;;;;;FALSE;;;;13441;;10;TRUE;2461;;;;;
1;Abe Tough Polyurethane Traffic Green 5L 3575005;Abe Tough Polyurethane Traffic Green 5L 3575005;;Abe Tough Polyurethane Traffic Green 5L 3575005;published;;;;;;;;;;;;;FALSE;;;;13442;;10;TRUE;2332;;;;;
1;Abe Wallseal 5L 68105038;Abe Wallseal 5L 68105038;;Abe Wallseal 5L 68105038;published;;;;;;;;;;;;;FALSE;;;;3478;;10;TRUE;889;;;;;
1;Abso Element Geyser Straight Cp 3Kw + Pocket;Abso Element Geyser Straight Cp 3Kw + Pocket;;Abso Element Geyser Straight Cp 3Kw + Pocket;published;;;;;;;;;;;;;FALSE;;;;28716;;10;TRUE;584;;;;;
1;Abus Padlock With Common Key Engraved With Letter B Long Shackle 65/40 40Mm;Abus Padlock With Common Key Engraved With Letter B Long Shackle 65/40 40Mm;;Abus Padlock With Common Key Engraved With Letter B Long Shackle 65/40 40Mm;published;;;;;;;;;;;;;FALSE;;;;28030;;10;TRUE;444;;;;;
1;Academy Paint Roller Set Ecopule 225Mm F5540;Academy Paint Roller Set Ecopule 225Mm F5540;;Academy Paint Roller Set Ecopule 225Mm F5540;published;;;;;;;;;;;;;FALSE;;;;27313;;10;TRUE;49;;;;;
1;Academy Paint Roller Set V4M F5543;Academy Paint Roller Set V4M F5543;;Academy Paint Roller Set V4M F5543;published;;;;;;;;;;;;;FALSE;;;;27312;;10;TRUE;58;;;;;
1;"Academy Paint Roller White 4""";"Academy Paint Roller White 4""";;"Academy Paint Roller White 4""";published;;;;;;;;;;;;;FALSE;;;;8560;;10;TRUE;0;;;;;
1;Accent Gauze Wire Aluminium 900Mmx30M;Accent Gauze Wire Aluminium 900Mmx30M;;Accent Gauze Wire Aluminium 900Mmx30M;published;;;;;;;;;;;;;FALSE;;;;5134;;10;TRUE;31;;;;;
1;Accent Gauze Wire Green 900Mmx30M;Accent Gauze Wire Green 900Mmx30M;;Accent Gauze Wire Green 900Mmx30M;published;;;;;;;;;;;;;FALSE;;;;28758;;10;TRUE;1560;;;;;
1;Accent Packing Tape Buff 48Mmx50M;Accent Packing Tape Buff 48Mmx50M;;Accent Packing Tape Buff 48Mmx50M;published;;;;;;;;;;;;;FALSE;;;;2269;;10;TRUE;31;;;;;
1;Accent Packing Tape Clear 48Mmx50M;Accent Packing Tape Clear 48Mmx50M;;Accent Packing Tape Clear 48Mmx50M;published;;;;;;;;;;;;;FALSE;;;;9537;;10;TRUE;62;;;;;
1;Accent Paint Brush 100Mm 118626;Accent Paint Brush 100Mm 118626;;Accent Paint Brush 100Mm 118626;published;;;;;;;;;;;;;FALSE;;;;2264;;10;TRUE;85;;;;;
1;Accent Paint Brush 125Mm 118627;Accent Paint Brush 125Mm 118627;;Accent Paint Brush 125Mm 118627;published;;;;;;;;;;;;;FALSE;;;;2267;;10;TRUE;51;;;;;
1;Accent Paint Brush 150Mm 118628;Accent Paint Brush 150Mm 118628;;Accent Paint Brush 150Mm 118628;published;;;;;;;;;;;;;FALSE;;;;2265;;10;TRUE;85;;;;;
1;Accent Paint Brush 25Mm 118621;Accent Paint Brush 25Mm 118621;;Accent Paint Brush 25Mm 118621;published;;;;;;;;;;;;;FALSE;;;;2261;;10;TRUE;18;;;;;
1;Accent Paint Brush 38Mm 118622;Accent Paint Brush 38Mm 118622;;Accent Paint Brush 38Mm 118622;published;;;;;;;;;;;;;FALSE;;;;2262;;10;TRUE;16;;;;;
